[2026-06-19 14:44:54] CVM v2 0->299 vm=experiments/vm_max_multires/checkpoint_299.pkl (online VM299=74.05)
load task config: configs/task/train_cvm_max_multires_v2.yaml
seed: 123
load data config: configs/data/train_cvm_max_multires_cloud.yaml
load transform config: configs/transform/cvm_multires.yaml
load model config: configs/model/cvm_max.yaml
use vm_ckpt: experiments/vm_max_multires/checkpoint_299.pkl
load system config: configs/system/cvm_max_multires_v2.yaml
[Epoch 131] train_patch_loss=1.246906 | val_patch_loss=1.172444 | val_CD=0.000152 | best_CD=0.000149
[Epoch 132] train_patch_loss=1.255878 | val_patch_loss=1.198124 | val_CD=n/a | best_CD=0.000149
[Epoch 133] train_patch_loss=1.256080 | val_patch_loss=1.106328 | val_CD=0.000151 | best_CD=0.000149
[Epoch 134] train_patch_loss=1.259005 | val_patch_loss=1.125492 | val_CD=n/a | best_CD=0.000149
[Epoch 135] train_patch_loss=1.254650 | val_patch_loss=1.277107 | val_CD=0.000156 | best_CD=0.000149
[Epoch 136] train_patch_loss=1.258191 | val_patch_loss=1.224986 | val_CD=n/a | best_CD=0.000149
[Epoch 137] train_patch_loss=1.251466 | val_patch_loss=1.168158 | val_CD=0.000152 | best_CD=0.000149
[Epoch 138] train_patch_loss=1.259207 | val_patch_loss=1.272008 | val_CD=n/a | best_CD=0.000149
[Epoch 139] train_patch_loss=1.253411 | val_patch_loss=1.290273 | val_CD=0.000157 | best_CD=0.000149
[Epoch 140] train_patch_loss=1.256239 | val_patch_loss=1.257530 | val_CD=n/a | best_CD=0.000149
[Epoch 141] train_patch_loss=1.245425 | val_patch_loss=1.171103 | val_CD=0.000155 | best_CD=0.000149
[Epoch 142] train_patch_loss=1.258247 | val_patch_loss=1.190427 | val_CD=n/a | best_CD=0.000149
[Epoch 143] train_patch_loss=1.255753 | val_patch_loss=1.176744 | val_CD=0.000154 | best_CD=0.000149
[Epoch 144] train_patch_loss=1.264196 | val_patch_loss=1.195368 | val_CD=n/a | best_CD=0.000149
[Epoch 145] train_patch_loss=1.253518 | val_patch_loss=1.166768 | val_CD=0.000155 | best_CD=0.000149
[Epoch 146] train_patch_loss=1.252454 | val_patch_loss=1.233123 | val_CD=n/a | best_CD=0.000149
[Epoch 147] train_patch_loss=1.244783 | val_patch_loss=1.291253 | val_CD=0.000157 | best_CD=0.000149
[Epoch 148] train_patch_loss=1.259877 | val_patch_loss=1.165140 | val_CD=n/a | best_CD=0.000149
[Epoch 149] train_patch_loss=1.259769 | val_patch_loss=1.094506 | val_CD=0.000157 | best_CD=0.000149
[Epoch 150] train_patch_loss=1.247571 | val_patch_loss=1.262660 | val_CD=n/a | best_CD=0.000149
[Epoch 151] train_patch_loss=1.253468 | val_patch_loss=1.174390 | val_CD=0.000157 | best_CD=0.000149
[Epoch 152] train_patch_loss=1.250878 | val_patch_loss=1.139524 | val_CD=n/a | best_CD=0.000149
[Epoch 153] train_patch_loss=1.250294 | val_patch_loss=1.201255 | val_CD=0.000154 | best_CD=0.000149
[Epoch 154] train_patch_loss=1.245105 | val_patch_loss=1.069089 | val_CD=n/a | best_CD=0.000149
[Epoch 155] train_patch_loss=1.255446 | val_patch_loss=1.182055 | val_CD=0.000153 | best_CD=0.000149
[Epoch 156] train_patch_loss=1.247554 | val_patch_loss=1.226753 | val_CD=n/a | best_CD=0.000149
[Epoch 157] train_patch_loss=1.255391 | val_patch_loss=1.145469 | val_CD=0.000156 | best_CD=0.000149
[Epoch 158] train_patch_loss=1.259032 | val_patch_loss=1.245424 | val_CD=n/a | best_CD=0.000149
[Epoch 159] train_patch_loss=1.260383 | val_patch_loss=1.247269 | val_CD=0.000152 | best_CD=0.000149
[Epoch 160] train_patch_loss=1.256792 | val_patch_loss=1.221718 | val_CD=n/a | best_CD=0.000149
[Epoch 161] train_patch_loss=1.253701 | val_patch_loss=1.132156 | val_CD=0.000158 | best_CD=0.000149
[Epoch 162] train_patch_loss=1.259457 | val_patch_loss=1.201779 | val_CD=n/a | best_CD=0.000149
[Epoch 163] train_patch_loss=1.246892 | val_patch_loss=1.150660 | val_CD=0.000155 | best_CD=0.000149
[Epoch 164] train_patch_loss=1.247175 | val_patch_loss=1.244270 | val_CD=n/a | best_CD=0.000149
[Epoch 165] train_patch_loss=1.251726 | val_patch_loss=1.201389 | val_CD=0.000153 | best_CD=0.000149
[Epoch 166] train_patch_loss=1.252155 | val_patch_loss=1.184287 | val_CD=n/a | best_CD=0.000149
[Epoch 167] train_patch_loss=1.247300 | val_patch_loss=1.244738 | val_CD=0.000156 | best_CD=0.000149
[Epoch 168] train_patch_loss=1.252184 | val_patch_loss=1.338919 | val_CD=n/a | best_CD=0.000149
[Epoch 169] train_patch_loss=1.253885 | val_patch_loss=1.198701 | val_CD=0.000156 | best_CD=0.000149
[Epoch 170] train_patch_loss=1.250887 | val_patch_loss=1.168558 | val_CD=n/a | best_CD=0.000149
[Epoch 171] train_patch_loss=1.252950 | val_patch_loss=1.161837 | val_CD=0.000157 | best_CD=0.000149
[Epoch 172] train_patch_loss=1.251326 | val_patch_loss=1.246716 | val_CD=n/a | best_CD=0.000149
[Epoch 173] train_patch_loss=1.256068 | val_patch_loss=1.221221 | val_CD=0.000158 | best_CD=0.000149
[Epoch 174] train_patch_loss=1.251605 | val_patch_loss=1.238712 | val_CD=n/a | best_CD=0.000149
[Epoch 175] train_patch_loss=1.254729 | val_patch_loss=1.229588 | val_CD=0.000155 | best_CD=0.000149
[Epoch 176] train_patch_loss=1.251338 | val_patch_loss=1.143837 | val_CD=n/a | best_CD=0.000149
[Epoch 177] train_patch_loss=1.255498 | val_patch_loss=1.165566 | val_CD=0.000158 | best_CD=0.000149
[Epoch 178] train_patch_loss=1.251353 | val_patch_loss=1.151380 | val_CD=n/a | best_CD=0.000149
[Epoch 179] train_patch_loss=1.253253 | val_patch_loss=1.190143 | val_CD=0.000148 | best_CD=0.000148
[Epoch 180] train_patch_loss=1.247036 | val_patch_loss=1.250227 | val_CD=n/a | best_CD=0.000148
[Epoch 181] train_patch_loss=1.249635 | val_patch_loss=1.226801 | val_CD=0.000157 | best_CD=0.000148
[Epoch 182] train_patch_loss=1.253762 | val_patch_loss=1.151625 | val_CD=n/a | best_CD=0.000148
[Epoch 183] train_patch_loss=1.249092 | val_patch_loss=1.235213 | val_CD=0.000153 | best_CD=0.000148
[Epoch 184] train_patch_loss=1.250413 | val_patch_loss=1.164771 | val_CD=n/a | best_CD=0.000148
[Epoch 185] train_patch_loss=1.257867 | val_patch_loss=1.145255 | val_CD=0.000158 | best_CD=0.000148
[Epoch 186] train_patch_loss=1.257425 | val_patch_loss=1.194270 | val_CD=n/a | best_CD=0.000148
[Epoch 187] train_patch_loss=1.251387 | val_patch_loss=1.231192 | val_CD=0.000157 | best_CD=0.000148
[Epoch 188] train_patch_loss=1.255364 | val_patch_loss=1.257308 | val_CD=n/a | best_CD=0.000148
[Epoch 189] train_patch_loss=1.253298 | val_patch_loss=1.152407 | val_CD=0.000152 | best_CD=0.000148
[Epoch 190] train_patch_loss=1.243664 | val_patch_loss=1.341922 | val_CD=n/a | best_CD=0.000148
[Epoch 191] train_patch_loss=1.249821 | val_patch_loss=1.250885 | val_CD=0.000159 | best_CD=0.000148
[Epoch 192] train_patch_loss=1.246286 | val_patch_loss=1.132234 | val_CD=n/a | best_CD=0.000148
[Epoch 193] train_patch_loss=1.254307 | val_patch_loss=1.278665 | val_CD=0.000158 | best_CD=0.000148
[Epoch 194] train_patch_loss=1.251560 | val_patch_loss=1.181223 | val_CD=n/a | best_CD=0.000148
[Epoch 195] train_patch_loss=1.247593 | val_patch_loss=1.188656 | val_CD=0.000156 | best_CD=0.000148
[Epoch 196] train_patch_loss=1.263312 | val_patch_loss=1.148913 | val_CD=n/a | best_CD=0.000148
